appid	positive_reviews	total_reviews	last_updated
356790	24	29	2019-07-23
356770	35	55	2019-07-23
356730	3	5	2019-07-23
356670	9229	9964	2019-07-23
356580	41	61	2019-07-23
356570	3764	4243	2019-07-23
356560	14	15	2019-07-23
356550	13	15	2019-07-23
356540	11	14	2019-07-23
356530	117	129	2019-07-23
356520	952	1059	2019-07-23
356510	28	70	2019-07-23
356500	1041	1178	2019-07-23
356460	12	17	2019-07-23
356430	194	247	2019-07-23
356420	284	328	2019-07-23
356400	2025	2191	2019-07-23
356390	54	64	2019-07-23
356380	47	71	2019-07-23
356370	369	540	2019-07-23
356310	765	1506	2019-07-23
356290	16	27	2019-07-23
356280	14	25	2019-07-23
356270	67	92	2019-07-23
356260	153	176	2019-07-23
356250	54	58	2019-07-23
356210	9	14	2019-07-23
356190	14536	18426	2019-07-23
356180	66	104	2019-07-23
356170	7	9	2019-07-23
356160	8	24	2019-07-23
356130	347	689	2019-07-23
356110	6	7	2019-07-23
356100	22	26	2019-07-23
356090	21	22	2019-07-23
356070	16	24	2019-07-23
356050	405	550	2019-07-23
356040	2713	3438	2019-07-23
356000	79	99	2019-07-23
355980	1011	1052	2019-07-23
355970	269	360	2019-07-23
355920	41	45	2019-07-23
355910	12	15	2019-07-23
355860	161	226	2019-07-23
355840	10461	20231	2019-07-23
355810	7	14	2019-07-23
355800	335	481	2019-07-23
355790	1120	1376	2019-07-23
355760	206	374	2019-07-23
355690	10	13	2019-07-23
355680	0	0	2019-07-23
355650	4	6	2019-07-23
355630	182	200	2019-07-23
355570	21	22	2019-07-23
355560	27	34	2019-07-23
355530	143	174	2019-07-23
355520	200	266	2019-07-23
355510	1	2	2019-07-23
355500	31	44	2019-07-23
355460	13	32	2019-07-23
355430	14	29	2019-07-23
355420	73	78	2019-07-23
355410	82	101	2019-07-23
355400	139	184	2019-07-23
355370	13	16	2019-07-23
355350	34	41	2019-07-23
355310	17	21	2019-07-23
355280	16	22	2019-07-23
355270	135	149	2019-07-23
355250	177	240	2019-07-23
355240	132	159	2019-07-23
355230	15	18	2019-07-23
355190	13	21	2019-07-23
355180	11718	14153	2019-07-23
355150	680	1148	2019-07-23
355140	12	16	2019-07-23
355130	281	384	2019-07-23
355120	0	3	2019-07-23
355100	14	26	2019-07-23
355080	5	9	2019-07-23
355070	99	218	2019-07-23
355060	152	326	2019-07-23
355050	1049	1142	2019-07-23
355020	0	2	2019-07-23
355010	31	49	2019-07-23
355000	247	307	2019-07-23
354970	31	47	2019-07-23
354960	10	18	2019-07-23
354950	19	24	2019-07-23
354930	5	6	2019-07-23
354920	15	21	2019-07-23
354860	38	49	2019-07-23
354820	1	17	2019-07-23
354770	8	10	2019-07-23
354740	70	77	2019-07-23
354730	16	32	2019-07-23
354720	8	16	2019-07-23
354690	1	4	2019-07-23
354680	259	299	2019-07-23
354650	392	453	2019-07-23
354640	343	945	2019-07-23
354620	87	107	2019-07-23
354600	18	20	2019-07-23
354560	27	81	2019-07-23
354430	107	149	2019-07-23
354400	184	192	2019-07-23
354380	1461	1996	2019-07-23
354310	25	26	2019-07-23
354290	688	934	2019-07-23
354280	9	11	2019-07-23
354240	2293	2651	2019-07-23
354230	17	25	2019-07-23
354200	778	1261	2019-07-23
354180	15	25	2019-07-23
354160	106	228	2019-07-23
354140	4423	5034	2019-07-23
354050	10	20	2019-07-23
354040	4	4	2019-07-23
354030	7	9	2019-07-23
353990	8	14	2019-07-23
353980	36	46	2019-07-23
353940	12	19	2019-07-23
353890	45	60	2019-07-23
353790	7	7	2019-07-23
353700	696	784	2019-07-23
353640	1358	1522	2019-07-23
353630	47	105	2019-07-23
353610	13	26	2019-07-23
353600	3	7	2019-07-23
353580	49	59	2019-07-23
353560	2793	3279	2019-07-23
353550	359	537	2019-07-23
353540	337	346	2019-07-23
353360	2258	2661	2019-07-23
353340	16	20	2019-07-23
353330	756	796	2019-07-23
353300	3	7	2019-07-23
353280	31	33	2019-07-23
353270	2334	2437	2019-07-23
353190	95	155	2019-07-23
353130	1096	1656	2019-07-23
353110	11	17	2019-07-23
353090	405	420	2019-07-23
353070	47	100	2019-07-23
352960	32	63	2019-07-23
352950	180	581	2019-07-23
352900	11	15	2019-07-23
352890	177	239	2019-07-23
352850	4	12	2019-07-23
352790	10	16	2019-07-23
352780	191	218	2019-07-23
352760	12	17	2019-07-23
352750	2	3	2019-07-23
352740	11	17	2019-07-23
352720	1472	1941	2019-07-23
352700	393	447	2019-07-23
352640	7	7	2019-07-23
352620	35	38	2019-07-23
352610	98	111	2019-07-23
352580	31	50	2019-07-23
352550	626	1775	2019-07-23
352530	3	5	2019-07-23
352520	3970	4259	2019-07-23
352460	2510	3876	2019-07-23
352440	13	15	2019-07-23
352430	100	163	2019-07-23
352400	1808	2132	2019-07-23
352370	17	25	2019-07-23
352360	16	25	2019-07-23
352290	13	17	2019-07-23
352280	6	15	2019-07-23
352240	69	110	2019-07-23
352220	176	224	2019-07-23
352210	7	9	2019-07-23
352190	16	26	2019-07-23
352170	18	44	2019-07-23
352160	154	271	2019-07-23
352140	75	102	2019-07-23
352130	57	71	2019-07-23
352120	18	29	2019-07-23
352070	91	102	2019-07-23
352050	13	18	2019-07-23
352030	20	23	2019-07-23
352010	75	113	2019-07-23
351990	1207	1417	2019-07-23
351970	4272	5031	2019-07-23
351940	2953	3369	2019-07-23
351920	2017	2100	2019-07-23
351910	258	445	2019-07-23
351900	127	224	2019-07-23
351870	139	179	2019-07-23
351860	204	249	2019-07-23
351820	17	20	2019-07-23
351810	10	10	2019-07-23
351800	1390	1741	2019-07-23
351790	296	412	2019-07-23
351730	48	70	2019-07-23
351720	9	14	2019-07-23
351710	2058	2226	2019-07-23
351700	454	479	2019-07-23
351690	5	5	2019-07-23
351640	10305	10537	2019-07-23
351630	101	206	2019-07-23
351510	305	341	2019-07-23
351490	793	980	2019-07-23
351480	223	240	2019-07-23
351470	91	133	2019-07-23
351450	27	56	2019-07-23
351420	10	17	2019-07-23
351410	43	45	2019-07-23
351400	6	8	2019-07-23
351340	230	321	2019-07-23
351330	14	18	2019-07-23
351300	57	106	2019-07-23
351290	3729	7105	2019-07-23
351250	41	45	2019-07-23
351240	35	38	2019-07-23
351230	95	103	2019-07-23
