appid	score	num_tags	total_tag_votes	name	release_date	positive_reviews	total_reviews	review_rating	rec_flag
1115030	2.720345316160673	3	63	Running Black	Jul 14, 2019	0	0	0.0	0
1114740	2.720345316160673	3	63	Red Island	Jul 25, 2019	0	0	0.0	0
1111970	2.720345316160673	3	63	Zeminator	Jul 26, 2019	0	0	0.0	0
1111100	2.720345316160673	3	63	Oasis Shooting Ops	Jul 12, 2019	0	0	0.0	0
1110790	2.720345316160673	3	63	Soaring perl Tom	Jul 7, 2019	0	0	0.0	0
1109890	2.720345316160673	3	63	Planet Invasion	Summer 2019 - Add to Wishlist	0	0	0.0	0
1109720	2.720345316160673	3	63	Rico	coming soon	0	0	0.0	0
1105480	2.720345316160673	3	63	GGG Collection	Aug 7, 2019	0	0	0.0	0
1102700	2.720345316160673	3	63	Alpha Dog	Aug 2019	0	0	0.0	0
1101170	2.719644028395456	3	64	Mage Mania	Aug 2019	0	0	0.0	0
1104480	2.716241404436677	3	62	Soccer Kid	Jul 9, 2019	0	0	0.0	0
1108660	2.699150653772537	4	70	Crystal Defense	Jul 31, 2019	0	0	0.0	0
1107860	2.699150653772537	4	70	Tau Defense	Dec 2019	0	0	0.0	0
1122280	2.6754628991867513	1	21	Witchcrafty	Nov 2019	0	0	0.0	0
1117210	2.6754628991867513	1	20	<U+9876><U+9171>	2077<U+5E74>11<U+6708>11<U+65E5>	0	0	0.0	0
1113940	2.6754628991867513	1	20	Electronic Super Joy 2	Coming very soon!	0	0	0.0	0
1108420	2.6754628991867513	1	20	Pest Control	Jul 31, 2019	0	0	0.0	0
1107660	2.6754628991867513	1	21	Round Rooms	Jul 16, 2019	0	0	0.0	0
1100320	2.6754628991867513	1	20	Rest	Winter 2020	0	0	0.0	0
1112710	2.6727940157090675	3	63	Neon Tower Blast	Jul 24, 2019	0	0	0.0	0
1115470	2.670243630219097	4	60	Metronium	Sep 6, 2019	0	0	0.0	0
1119500	2.634578467444652	3	63	FIGHTBALL - BOXING VR	Aug 2, 2019	0	0	0.0	0
1113210	2.5133561527484964	3	52	Jomp The Jumper	Jul 12, 2019	0	0	0.0	0
1119520	2.3899700631919663	3	60	HITOTSU NO MORI	Oct 31, 2019	0	0	0.0	0
1104450	2.3368573605869747	4	81	Bombergrounds: Battle Royale	Q1 2020	0	0	0.0	0
